Time,Z4383,Z8722,Z9657,Z8246,Z0353,Z0113,Z3993,Z1140,Z6623,Z3162,Z8043,Z1326,Z8397,Z3240,Z3953,Z6782,Z8627,Z5758,Z6929,Z6872
2025-01-22 13:51:45,29.58,2.78,1.76,1.7,2.93,25.91,1.13,24.57,0.96,20.91,20.16,1.39,25.71,4.75,4.51,0.92,1.58,20.44,24.47,28.18
2025-01-22 13:51:46,1.88,3.89,21.2,20.19,0.8,27.51,0.65,29.51,1.88,1.06,23.16,4.0,1.33,3.86,28.31,3.35,3.83,23.48,27.69,3.63
2025-01-22 13:51:47,1.2,0.81,2.01,2.68,25.29,0.89,29.73,1.12,1.15,1.1,0.67,1.69,20.38,0.67,0.8,1.4,0.97,1.49,1.15,2.96
2025-01-22 13:51:48,2.4,21.98,23.33,24.1,3.06,20.63,4.74,2.35,1.5,4.75,26.2,26.24,24.12,21.48,1.57,4.73,22.42,26.51,3.97,4.81
2025-01-22 13:51:49,4.87,4.83,2.6,25.49,24.29,23.93,3.08,26.91,3.5,28.35,0.98,0.63,22.73,23.48,0.86,1.28,1.69,3.81,1.63,0.7
2025-01-22 13:51:50,3.8,3.41,4.87,2.96,20.08,1.2,28.15,0.85,1.56,28.51,26.27,3.02,25.02,25.64,3.96,23.78,1.64,3.15,0.74,4.18
2025-01-22 13:51:51,27.64,24.33,0.96,20.85,0.75,1.98,24.24,2.78,27.02,0.85,1.41,21.13,4.89,4.09,1.17,28.22,3.9,3.29,1.75,4.37
2025-01-22 13:51:52,2.3,3.34,4.78,29.79,0.65,2.13,1.18,4.25,4.7,4.93,2.18,4.45,4.95,4.45,0.64,1.21,1.92,1.0,25.92,3.12
2025-01-22 13:51:53,0.7,4.71,3.83,22.59,4.03,2.96,23.87,3.6,1.3,1.37,4.0,4.63,4.18,2.16,21.42,1.51,0.82,4.81,2.4,26.61
2025-01-22 13:51:54,2.25,4.68,1.8,0.68,1.51,4.99,2.02,22.51,26.32,2.67,2.19,23.21,0.85,2.23,4.62,4.66,2.34,27.99,1.65,2.15
2025-01-22 13:51:55,1.27,3.87,1.11,3.61,1.35,27.14,0.61,23.64,2.04,24.89,4.67,4.27,0.56,4.66,21.61,28.54,21.84,29.65,22.81,1.46
2025-01-22 13:51:56,2.25,27.59,23.03,27.14,4.75,2.96,29.68,29.06,0.72,2.76,28.86,1.03,1.06,21.99,29.48,4.55,1.02,2.67,4.52,23.83
2025-01-22 13:51:57,1.83,23.37,25.52,1.45,2.27,2.14,0.67,4.71,3.33,1.06,25.67,1.51,4.92,0.98,1.9,1.21,3.19,0.75,26.43,25.96
2025-01-22 13:51:58,4.26,1.38,21.6,25.53,4.68,21.69,2.96,4.5,29.43,4.45,3.01,25.11,0.69,25.52,22.19,3.26,1.27,20.57,1.56,1.32
2025-01-22 13:51:59,22.1,0.92,23.44,4.81,22.77,4.44,3.56,0.83,4.97,3.46,1.37,3.8,4.8,3.56,20.78,1.44,2.72,21.03,26.44,1.57
2025-01-22 13:52:00,4.79,20.71,22.56,0.63,24.56,1.92,2.01,2.23,27.56,29.53,22.53,0.83,27.93,2.89,4.45,0.83,22.0,0.59,1.37,0.77
2025-01-22 13:52:01,3.24,1.17,28.75,3.91,0.93,29.76,1.8,2.84,0.52,1.16,3.45,4.24,1.07,2.51,4.25,25.98,4.59,4.27,1.87,23.39
2025-01-22 13:52:02,1.71,1.41,25.4,1.93,0.51,4.6,4.38,1.02,0.96,2.55,28.22,1.85,0.75,3.17,28.9,1.87,2.59,1.12,2.68,0.91
2025-01-22 13:52:03,27.88,0.62,3.03,23.05,22.58,29.04,23.75,1.83,29.01,4.36,1.11,2.14,4.64,24.68,4.96,22.18,27.19,2.45,3.8,3.03
2025-01-22 13:52:04,1.82,1.63,2.41,1.27,27.39,1.81,20.04,1.91,3.11,3.12,1.87,3.91,23.05,1.37,1.91,0.86,3.33,4.4,20.64,3.13
2025-01-22 13:52:05,2.68,4.69,25.51,2.69,28.09,1.52,4.9,3.45,4.3,27.28,26.54,3.84,1.92,1.13,0.69,3.07,22.57,2.77,29.97,22.64
2025-01-22 13:52:06,25.91,2.13,3.47,1.07,28.62,27.97,1.79,23.42,1.8,1.73,27.64,4.16,1.03,1.77,1.65,1.09,2.61,1.43,28.22,3.3
2025-01-22 13:52:07,20.88,1.97,23.38,29.55,23.3,25.37,25.08,2.44,1.39,2.27,22.79,3.65,2.97,0.91,1.47,29.19,3.76,0.93,21.76,2.44
2025-01-22 13:52:08,1.12,24.97,20.48,1.93,1.99,23.1,22.58,1.37,28.09,1.96,1.87,3.01,1.37,20.38,1.97,23.28,29.48,28.12,1.71,2.97
2025-01-22 13:52:09,3.2,4.72,1.38,4.39,3.19,25.08,3.71,2.65,1.29,4.89,22.57,0.69,1.14,1.62,0.81,1.98,26.79,23.13,1.79,27.55
2025-01-22 13:52:10,27.5,0.61,27.13,1.13,29.75,26.09,4.25,0.69,29.86,1.56,26.73,22.83,3.52,3.84,0.97,4.47,27.52,0.84,4.44,0.74
2025-01-22 13:52:11,26.61,27.9,1.97,25.63,1.68,4.95,3.9,3.98,1.79,3.92,1.16,25.75,29.23,23.56,27.16,2.02,1.1,0.62,0.69,25.62
2025-01-22 13:52:12,4.94,29.77,29.23,1.17,2.11,1.14,1.8,2.86,27.51,0.66,23.86,4.48,3.27,2.42,4.84,25.59,0.54,2.08,1.63,1.07
2025-01-22 13:52:13,4.32,22.24,26.76,1.51,4.42,4.96,28.85,1.99,4.07,3.47,23.17,20.85,2.16,29.39,2.68,20.99,22.17,25.69,1.68,23.83
2025-01-22 13:52:14,26.31,4.66,1.98,4.79,3.04,20.6,2.09,4.11,2.59,26.55,1.26,28.46,22.02,1.72,23.35,26.71,2.26,2.48,0.88,1.12
2025-01-22 13:52:15,4.3,4.31,0.53,1.96,0.6,3.69,24.97,24.02,1.69,4.52,28.58,2.99,26.18,0.59,3.87,1.3,1.93,2.63,1.21,21.46
2025-01-22 13:52:16,2.5,1.63,0.59,1.03,1.94,23.26,4.06,22.08,0.52,1.03,0.95,24.03,28.83,24.1,25.61,1.05,23.1,26.64,4.03,1.6
2025-01-22 13:52:17,0.75,25.66,2.5,24.02,26.4,4.19,3.55,26.23,2.49,1.52,4.67,4.38,21.73,4.98,24.05,3.99,1.99,26.3,22.11,29.61
2025-01-22 13:52:18,24.33,26.68,3.89,22.49,24.55,1.48,22.34,3.1,3.84,0.7,4.86,1.83,4.77,27.1,4.92,1.25,29.73,1.7,29.74,1.33
2025-01-22 13:52:19,0.86,1.11,28.6,22.63,29.93,25.69,4.02,2.83,20.51,0.86,3.47,24.66,1.44,21.54,1.94,26.73,0.79,1.57,4.96,1.24
2025-01-22 13:52:20,20.71,2.38,3.24,1.32,0.58,27.9,25.46,3.56,29.19,1.85,4.05,1.34,1.34,1.44,2.93,2.82,27.47,1.79,1.04,3.08
2025-01-22 13:52:21,3.03,1.43,2.65,21.4,1.52,4.81,24.81,1.27,3.55,0.73,0.69,20.87,0.72,25.95,29.85,1.13,26.35,29.18,4.31,29.35
2025-01-22 13:52:22,28.8,1.98,1.57,3.58,2.34,1.35,1.37,4.33,1.04,29.19,3.2,1.57,25.09,25.26,3.53,1.47,2.3,26.53,26.22,2.71
2025-01-22 13:52:23,4.28,2.91,1.64,2.84,0.67,27.8,0.8,1.51,28.11,2.54,1.03,4.25,2.62,1.63,29.97,1.56,20.29,3.85,3.39,27.03
2025-01-22 13:52:24,21.13,25.25,2.21,3.18,26.52,26.64,1.3,2.61,24.48,20.79,2.86,0.78,1.96,23.16,0.81,28.87,1.17,2.89,24.88,29.22
2025-01-22 13:52:25,2.08,1.03,1.14,3.23,0.86,23.33,0.96,3.31,4.3,0.72,23.27,1.39,4.32,1.65,22.21,3.68,28.63,1.44,4.5,0.96
2025-01-22 13:52:26,28.27,23.36,4.02,21.41,1.21,1.74,28.87,23.77,23.23,4.35,21.15,23.18,27.76,28.4,21.77,2.04,1.85,3.03,2.95,1.09
2025-01-22 13:52:27,3.41,3.92,1.88,21.14,29.69,29.97,4.86,3.86,1.22,1.14,21.63,1.23,1.61,28.35,24.87,1.12,3.41,26.31,21.25,2.63
2025-01-22 13:52:28,22.87,3.7,3.27,1.25,22.14,1.27,3.18,1.51,4.66,1.82,3.65,1.1,2.62,4.91,0.79,1.71,26.44,1.38,21.24,2.86
2025-01-22 13:52:29,26.84,2.69,0.62,1.13,0.67,0.64,2.3,2.21,23.61,3.12,24.19,3.84,23.43,3.75,1.85,1.73,26.11,0.58,2.86,29.01
2025-01-22 13:52:30,1.3,21.98,0.98,28.27,2.03,27.04,4.54,24.49,21.15,26.54,3.82,27.13,2.63,20.54,3.34,1.93,1.91,1.09,1.13,2.17
2025-01-22 13:52:31,3.43,3.18,21.5,3.12,4.61,1.78,2.16,1.06,2.54,3.95,1.31,27.95,3.37,3.18,25.32,24.6,4.34,3.31,3.46,1.84
2025-01-22 13:52:32,3.56,3.93,1.64,2.05,0.55,0.9,0.97,3.84,2.52,1.1,1.44,2.64,27.17,2.1,24.43,1.04,27.3,3.53,4.52,4.07
2025-01-22 13:52:33,2.74,1.77,1.71,3.24,1.73,1.22,4.55,3.63,4.35,1.53,1.82,1.6,3.72,2.55,4.15,24.42,3.28,3.78,23.23,1.26
2025-01-22 13:52:34,1.13,1.33,4.0,23.71,20.66,3.57,21.64,4.62,4.29,1.74,29.1,24.51,24.24,23.45,29.54,20.97,20.26,1.72,22.62,25.73
2025-01-22 13:52:35,24.78,4.51,26.63,3.36,26.04,3.81,2.35,26.32,24.81,1.18,20.31,1.37,23.32,1.79,29.35,29.48,1.58,1.95,4.59,2.28
2025-01-22 13:52:36,20.11,4.59,2.03,4.53,0.6,25.1,1.15,4.9,29.86,1.65,1.25,1.06,0.53,1.59,1.63,1.84,1.52,0.9,28.37,20.57
2025-01-22 13:52:37,22.18,4.88,23.68,1.12,1.26,21.01,1.73,22.46,1.83,1.0,3.14,4.06,0.84,1.43,2.05,20.79,20.5,0.77,1.9,27.52
2025-01-22 13:52:38,28.47,4.43,3.31,1.19,20.73,22.56,1.89,28.75,23.32,2.48,4.78,4.15,3.02,24.62,27.15,2.43,1.86,0.59,26.5,2.05
2025-01-22 13:52:39,27.49,0.78,4.74,4.47,20.76,23.92,20.62,1.09,0.79,22.99,25.76,3.65,1.61,5.0,4.61,3.38,3.01,1.53,1.77,0.73
2025-01-22 13:52:40,4.97,2.29,3.18,2.02,2.2,22.5,25.63,22.84,25.89,23.06,4.07,23.82,1.58,0.77,23.81,21.78,28.14,0.98,29.18,4.97
2025-01-22 13:52:41,3.63,21.55,1.77,23.13,1.36,20.35,1.43,1.33,1.4,23.6,4.93,3.37,1.79,1.66,21.79,26.79,1.47,1.72,21.87,4.43
2025-01-22 13:52:42,2.83,29.31,1.79,3.04,27.5,3.65,1.46,3.83,28.65,20.05,3.38,22.9,27.43,0.68,29.81,28.39,2.37,0.73,1.16,29.36
2025-01-22 13:52:43,20.79,1.94,1.49,4.45,2.9,0.72,24.26,4.17,1.19,1.35,28.41,1.61,22.08,25.91,3.81,0.89,1.97,2.42,2.72,1.17
2025-01-22 13:52:44,29.68,29.68,0.51,28.86,23.5,2.94,2.34,25.66,24.09,21.27,0.97,1.29,2.59,24.05,4.73,26.78,3.27,0.51,4.18,1.5
2025-01-22 13:52:45,26.42,22.71,22.22,27.73,0.91,27.32,23.76,3.2,1.34,3.2,2.7,0.86,1.02,2.03,20.86,1.47,4.07,2.49,24.1,0.53
2025-01-22 13:52:46,4.3,4.64,1.78,2.55,21.85,1.42,22.88,25.3,2.01,1.08,1.76,0.99,3.71,25.5,21.8,1.79,0.91,23.97,1.28,1.27
2025-01-22 13:52:47,27.43,2.88,1.85,22.55,28.05,29.42,3.93,23.07,0.76,2.55,3.55,2.96,2.05,2.11,3.58,1.89,4.93,3.49,2.66,1.49
2025-01-22 13:52:48,2.91,0.76,4.12,0.81,3.99,2.0,0.8,4.73,25.29,1.28,0.85,1.1,2.1,0.59,0.59,1.16,1.27,24.64,0.92,25.58
2025-01-22 13:52:49,1.22,21.91,0.91,27.84,2.19,0.79,1.75,21.7,4.79,3.97,4.79,3.03,28.03,20.74,3.23,3.77,3.47,1.16,1.48,4.78
2025-01-22 13:52:50,25.21,2.41,23.26,29.91,0.96,24.62,2.42,26.49,4.31,0.74,3.18,1.03,1.15,21.42,4.48,3.94,29.61,4.93,25.82,20.79
2025-01-22 13:52:51,23.78,3.81,23.26,23.38,0.58,22.46,4.85,2.34,1.28,2.9,0.94,2.75,27.51,27.45,1.6,27.14,2.58,22.64,25.18,21.57
2025-01-22 13:52:52,21.87,2.65,1.4,3.55,2.35,2.74,1.2,28.23,4.0,0.65,23.4,25.2,2.86,23.63,1.14,1.97,1.75,1.05,4.76,0.75
2025-01-22 13:52:53,2.94,26.17,29.98,1.13,1.86,24.14,4.32,4.09,2.91,2.26,1.63,4.17,3.34,4.86,23.72,2.29,1.48,22.6,28.13,2.78
2025-01-22 13:52:54,2.94,4.56,27.68,28.53,1.13,26.05,1.61,1.34,3.7,0.76,2.76,1.81,20.16,22.62,23.45,0.64,1.86,2.48,23.0,2.15
2025-01-22 13:52:55,26.59,1.51,23.76,3.46,1.27,24.01,23.48,4.09,1.14,3.27,21.83,1.7,3.17,2.24,27.39,29.12,2.61,2.45,21.37,0.87
2025-01-22 13:52:56,4.74,24.38,21.2,1.48,21.32,4.49,0.82,25.82,4.81,3.35,21.7,26.33,2.35,0.93,0.74,4.27,3.05,27.37,22.4,0.9
2025-01-22 13:52:57,4.64,2.86,1.0,2.46,22.57,2.97,0.54,3.12,2.12,25.14,0.73,4.08,4.17,4.12,22.77,2.69,3.11,24.76,22.29,1.15
2025-01-22 13:52:58,0.7,2.24,1.02,3.79,4.95,1.81,24.58,2.34,1.35,24.36,26.05,27.6,1.4,1.77,0.75,29.88,1.13,4.85,20.21,26.18
2025-01-22 13:52:59,2.25,24.99,24.75,25.54,4.85,3.49,1.11,1.73,4.35,24.2,0.63,1.73,27.92,28.61,20.26,26.22,25.24,3.52,3.03,3.53
2025-01-22 13:53:00,28.26,29.08,24.94,4.52,4.88,0.71,23.37,0.92,1.72,1.4,22.14,2.39,28.36,4.18,0.61,1.74,26.24,1.65,3.08,4.21
2025-01-22 13:53:01,0.68,22.38,1.53,26.54,0.96,2.87,4.96,28.61,3.65,1.12,3.21,25.21,2.45,27.72,20.28,26.68,3.43,3.35,1.83,22.46
2025-01-22 13:53:02,3.82,1.66,3.93,22.94,29.56,0.73,1.75,4.06,2.78,0.68,22.63,0.8,1.83,0.65,24.84,0.9,3.51,2.09,1.87,1.38
2025-01-22 13:53:03,20.05,1.62,4.45,2.87,0.8,0.9,27.88,29.81,1.49,0.89,3.64,1.9,24.26,4.02,1.63,4.42,2.64,28.49,4.2,3.25
2025-01-22 13:53:04,0.64,0.57,2.33,23.64,1.65,0.78,25.93,1.73,0.88,0.5,1.13,4.55,21.87,1.44,0.52,4.07,28.19,0.92,29.67,2.17
2025-01-22 13:53:05,29.49,26.02,0.59,23.23,28.48,25.45,1.29,24.64,29.39,25.66,2.8,3.22,24.45,3.18,1.41,26.28,29.52,21.87,1.26,27.51
2025-01-22 13:53:06,26.12,1.77,3.86,0.73,3.23,1.15,0.51,0.86,0.76,20.39,1.42,4.05,23.28,22.82,4.81,2.88,26.54,1.04,0.86,26.72
2025-01-22 13:53:07,29.87,1.51,22.94,1.9,0.77,1.3,1.39,24.33,3.46,27.22,1.67,29.72,0.66,1.66,1.67,0.58,21.33,28.94,1.09,1.88
2025-01-22 13:53:08,3.23,26.64,28.67,3.96,4.27,22.46,4.73,22.9,28.27,0.64,0.8,1.11,4.93,21.69,1.74,3.2,0.96,20.53,2.71,24.02
2025-01-22 13:53:09,20.39,4.07,2.4,4.27,1.0,4.3,23.22,0.89,1.29,24.66,20.62,1.81,23.5,2.18,0.59,27.21,24.09,2.15,0.73,23.68
2025-01-22 13:53:10,3.3,24.45,3.28,1.71,1.04,1.92,0.61,2.61,26.3,4.71,4.87,0.58,2.96,1.26,1.43,27.16,0.95,2.5,4.63,1.23
2025-01-22 13:53:11,2.24,22.53,4.75,1.88,1.72,1.73,1.28,24.74,23.93,28.39,4.98,1.19,0.59,3.66,3.12,27.84,3.64,2.64,2.0,0.6
2025-01-22 13:53:12,1.16,0.65,26.99,4.17,1.73,3.08,21.18,3.34,1.01,1.96,1.05,4.35,2.01,1.53,2.11,5.0,4.79,4.09,21.78,4.61
2025-01-22 13:53:13,27.14,4.54,1.44,1.3,28.1,20.95,0.9,2.65,2.81,1.37,29.17,2.1,0.77,1.69,28.18,0.62,1.88,4.95,1.26,0.94
2025-01-22 13:53:14,0.52,4.33,1.24,26.79,1.1,1.08,0.94,1.79,4.02,3.68,3.12,4.11,4.54,3.44,4.44,1.95,28.94,21.63,27.48,1.17
2025-01-22 13:53:15,1.48,1.58,28.94,24.08,26.72,4.34,29.32,0.92,3.6,1.58,0.96,0.55,3.1,24.01,25.28,2.98,3.26,28.06,25.68,2.87
2025-01-22 13:53:16,3.62,4.87,21.09,2.4,0.77,2.95,4.0,2.08,1.01,2.44,21.57,0.82,0.89,0.58,24.43,27.03,0.7,3.46,1.04,1.75
2025-01-22 13:53:17,0.64,26.15,2.99,26.24,0.91,25.42,1.53,0.67,4.66,4.9,26.85,20.71,24.34,3.93,1.46,3.44,3.2,1.26,1.46,4.77
2025-01-22 13:53:18,28.48,3.99,4.8,25.88,28.66,2.4,1.93,2.68,3.26,3.88,2.8,20.99,1.81,29.41,3.03,0.53,1.71,25.37,1.13,25.58
2025-01-22 13:53:19,24.6,4.95,3.61,23.59,1.09,23.2,1.95,4.2,4.55,2.51,4.61,2.0,23.61,21.33,22.08,23.95,1.15,3.41,1.92,25.77
2025-01-22 13:53:20,3.15,3.24,1.64,22.39,1.42,22.28,2.2,2.22,1.43,0.51,4.49,0.66,1.44,20.29,22.34,28.66,4.24,22.75,22.24,0.8
2025-01-22 13:53:21,0.72,1.12,1.9,2.69,2.09,2.82,4.2,2.85,29.02,1.5,1.06,2.77,2.89,0.8,0.79,3.83,2.36,1.25,21.22,27.05
2025-01-22 13:53:22,1.13,1.71,1.5,23.44,1.91,3.01,0.94,1.51,21.98,3.18,0.99,1.55,0.51,1.05,3.87,2.42,23.64,1.41,23.16,24.54
2025-01-22 13:53:23,3.8,1.49,22.11,21.23,25.51,0.67,0.94,1.7,25.16,0.6,1.71,21.05,22.97,2.83,3.37,0.82,1.74,3.8,1.21,22.32
2025-01-22 13:53:24,2.21,1.97,25.79,22.54,29.12,3.0,4.18,3.47,4.08,2.72,1.23,26.95,29.23,3.2,0.91,3.81,1.17,1.41,2.12,1.53
2025-01-22 13:53:25,24.02,27.2,2.82,29.44,3.69,2.16,26.75,4.42,3.66,25.45,3.94,4.48,3.37,3.0,3.11,4.59,26.69,0.98,27.15,4.27
2025-01-22 13:53:26,23.48,4.93,1.73,27.62,1.95,4.43,1.51,27.63,21.71,1.22,24.72,24.2,0.82,0.53,1.43,1.09,2.12,4.63,25.41,23.28
2025-01-22 13:53:27,24.35,1.47,2.64,4.42,24.83,29.77,26.98,3.75,28.52,1.36,21.0,0.52,1.63,1.55,28.69,2.98,26.26,0.77,0.52,3.61
2025-01-22 13:53:28,2.81,22.14,1.61,4.48,26.86,29.56,1.67,24.1,3.88,0.75,2.05,2.57,4.54,3.03,22.31,1.54,1.2,0.65,2.24,2.59
2025-01-22 13:53:29,29.06,24.39,1.88,4.72,27.36,1.95,0.95,24.25,1.3,25.93,28.15,2.66,3.78,2.32,24.59,27.81,1.09,1.93,22.34,2.08
2025-01-22 13:53:30,23.93,22.89,1.83,4.97,1.35,1.81,0.87,4.34,2.01,4.55,24.21,1.43,27.41,2.72,4.85,2.72,0.93,1.94,29.1,1.79
2025-01-22 13:53:31,0.88,28.18,3.28,1.89,1.12,1.84,1.37,3.69,3.98,2.05,3.58,26.44,1.6,1.25,20.73,1.79,1.26,29.36,4.12,0.68
2025-01-22 13:53:32,1.96,4.65,23.96,25.72,2.76,0.78,1.69,4.31,22.09,1.6,2.72,0.79,2.0,1.96,3.41,1.58,1.28,25.03,1.74,3.58
2025-01-22 13:53:33,2.03,26.25,22.28,1.76,1.26,0.82,27.4,3.13,0.92,1.36,2.14,1.05,2.8,2.23,24.71,28.14,4.35,20.71,3.28,0.53
2025-01-22 13:53:34,0.9,3.47,3.83,1.28,1.07,4.29,0.93,29.57,0.56,29.18,2.09,1.92,1.14,0.81,2.78,1.13,23.94,1.23,4.69,4.79
2025-01-22 13:53:35,4.99,1.28,2.82,1.6,2.02,4.63,1.24,23.22,2.22,25.25,2.88,4.47,3.32,24.56,2.91,1.81,2.81,1.41,3.78,22.58
2025-01-22 13:53:36,2.5,1.84,1.17,4.39,0.92,1.55,25.37,23.04,1.47,0.59,1.19,1.75,29.83,2.4,27.92,2.86,22.0,1.14,23.34,24.12
2025-01-22 13:53:37,1.19,1.13,2.76,1.98,28.8,0.75,20.71,1.98,25.0,2.67,0.75,21.02,1.45,21.23,27.12,4.64,2.4,1.65,1.31,27.9
2025-01-22 13:53:38,23.17,1.47,1.0,1.46,2.25,1.93,2.73,4.55,0.88,1.88,1.03,1.96,27.41,1.01,3.46,3.99,4.12,0.75,0.69,24.77
2025-01-22 13:53:39,1.95,0.7,1.81,4.24,25.11,20.02,1.41,3.84,0.6,25.33,1.07,1.11,0.61,24.69,2.92,2.74,1.48,23.13,3.44,1.02
2025-01-22 13:53:40,0.78,29.36,4.38,4.01,21.7,26.02,27.86,1.85,3.01,3.04,27.62,1.74,1.36,1.42,28.29,4.64,22.31,0.64,3.56,1.18
2025-01-22 13:53:41,4.88,28.99,1.74,4.19,28.93,1.1,23.58,0.88,21.34,29.3,24.05,22.71,2.17,20.7,2.86,20.23,1.42,1.99,1.41,29.31
2025-01-22 13:53:42,2.45,27.96,2.4,25.56,20.15,4.0,29.15,22.49,28.14,0.62,4.95,0.54,3.39,3.62,2.79,0.94,0.85,0.61,24.27,1.09
2025-01-22 13:53:43,20.46,1.47,4.71,2.72,0.88,29.83,2.34,0.75,20.13,20.4,1.5,1.27,3.6,20.07,26.37,23.75,0.75,1.43,1.62,21.66
2025-01-22 13:53:44,4.12,3.32,2.21,0.53,23.08,21.74,29.52,3.73,1.84,20.38,2.44,1.09,2.22,2.66,3.95,0.73,4.76,3.01,26.87,1.91
2025-01-22 13:53:45,29.85,25.61,3.98,23.1,4.53,20.28,2.29,1.72,2.85,26.77,2.21,1.3,1.99,1.75,4.72,1.93,1.47,4.02,4.33,2.06
